"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","[Registration] Rejestracja z istniejącym e-mailem.","Mateusz Bilewicz","2/20/2023 10:45 PM","","","High","","Manager","0","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 9:42 PM"
"C2","[Logging in] Poprawne logowanie z istniejącym loginem i hasłem.","Mateusz Bilewicz","2/20/2023 10:55 PM","","","High","","Manager","0","","Master","S1","Functional","Mateusz Bilewicz","2/21/2023 11:25 PM"
"C3","[Logging in] Próba niepoprawne logowania z nieistniejacym  loginem i/lub hasłem.","Mateusz Bilewicz","2/20/2023 10:58 PM","","","High","","Manager","0","","Master","S1","Functional","Mateusz Bilewicz","2/21/2023 11:25 PM"
"C14","[Change Password] Zmiana hasła Managera","Mateusz Bilewicz","2/21/2023 11:03 PM","","","Medium","","Manager","0","","Master","S1","Functional","Mateusz Bilewicz","3/2/2023 9:41 AM"
"C4","[New Customer]  Tworzenie nowego klienta z poprawnymi danymi.","Mateusz Bilewicz","2/20/2023 11:03 PM","","","High","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","3/2/2023 9:43 AM"
"C6","[New Customer] Tworzenie nowego klienta z nie poprawnymi danymi.","Mateusz Bilewicz","2/21/2023 10:17 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:58 PM"
"C33","[New Customer] Tworzenie nowego klienta z takim samym e-mailem jak inny Klient.","Mateusz Bilewicz","2/27/2023 9:01 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/27/2023 9:10 PM"
"C5","[Edit Customer]  Zmiana adresu zamieszkania z użyciem specjalnych znaków.","Mateusz Bilewicz","2/21/2023 9:06 PM","","","Medium","T5","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/24/2023 11:22 PM"
"C30","[Edit Customer]  Zamiana numer telefonu posiadający jedna liczbe jest akcpetowany.","Mateusz Bilewicz","2/24/2023 11:25 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/24/2023 11:29 PM"
"C21","[Delete Customer] Usuwanie konta klienta z bazy danych banku.","Mateusz Bilewicz","2/22/2023 9:08 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:11 PM"
"C7","[New account] Tworzenie  konta bankowego typu  """"Savings"""" dla nowego klienta.","Mateusz Bilewicz","2/21/2023 10:24 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:11 PM"
"C8","[New account] Tworzenie konta bankowego typu """"Current"""" dla nowego klienta.","Mateusz Bilewicz","2/21/2023 10:35 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:11 PM"
"C31","[New Account]   Depozyt początkowy jest mniejszy niż 500, System wyświetla błąd.","Mateusz Bilewicz","2/27/2023 8:44 PM","","","High","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/27/2023 8:52 PM"
"C9","[Edit Account] Edycja konta klienta.","Mateusz Bilewicz","2/21/2023 10:38 PM","","","Medium","T9","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 11:15 PM"
"C19","[Delete Account] Anulowanie  usuwania jednego konta  bankowego z konta klienta .","Mateusz Bilewicz","2/22/2023 8:54 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/23/2023 10:15 PM"
"C20","[Delete Account] Potwierdzenie usunięcia jednego konta bankowego z konta klienta .","Mateusz Bilewicz","2/22/2023 9:06 PM","","","Medium","T20","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/23/2023 10:15 PM"
"C10","[Deposit]  Depozyt funduszy na dane konto.","Mateusz Bilewicz","2/21/2023 10:42 PM","","","Medium","T10","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 11:15 PM"
"C29","[Withdrawal]  Wypłata danej kwoty.","Mateusz Bilewicz","2/23/2023 10:02 PM","","","High","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/27/2023 8:56 PM"
"C32","[Withdrawal] Wypłata wiekszej kwoty niż posiadanie wymaganego salda.","Mateusz Bilewicz","2/27/2023 8:55 PM","","","High","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/27/2023 9:00 PM"
"C11","[Fund transfer]  Przeniesienie funduszu na drugie konto.","Mateusz Bilewicz","2/21/2023 10:50 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:12 PM"
"C12","[Fund transfer]  Przeniesienie funduszu na  nie istniejące konto.","Mateusz Bilewicz","2/21/2023 10:55 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:12 PM"
"C13","[Fund transfer] Przeniesienie funduszy na te same konto.","Mateusz Bilewicz","2/21/2023 10:55 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:12 PM"
"C15","[Balance Enquiry] Sprawdzenie stanu konta klienta.","Mateusz Bilewicz","2/21/2023 11:10 PM","","","Medium","T15","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/24/2023 8:05 AM"
"C16","[Mini Statement]   Sprawdzenie mini wyciągu operacji konta .","Mateusz Bilewicz","2/22/2023 8:01 AM","","","Medium","T16","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 11:15 PM"
"C17","[Mini Statment]  Sprawdzenie mini wyciagu operacji konta z nie poprawnym numerem konta.","Mateusz Bilewicz","2/22/2023 8:33 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:12 PM"
"C18","[Customized Statement]  Zestawienie indywidualne i wyświetlenie transkacji na rachunku opacriu o date , wartość transakcji.","Mateusz Bilewicz","2/22/2023 8:43 PM","","","Medium","T18","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 11:16 PM"
"C22","[Log out] Poprawne wylogowanie sie Managera z konta.","Mateusz Bilewicz","2/22/2023 9:18 PM","","","Medium","","[Manager] Zarządzanie Klientem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:13 PM"
"C23","[Balance Enquiry] Sprawdzenie stanu konta """"Saving"""" i """"Current""""","Mateusz Bilewicz","2/22/2023 10:04 PM","","","Medium","T23","[Custumer] Zarządzanie Kontem","1","","Master","S1","Functional","Mateusz Bilewicz","3/2/2023 9:39 AM"
"C24","[Fund Transfer]  Przelew na inne konto.","Mateusz Bilewicz","2/22/2023 10:14 PM","","","Medium","","[Custumer] Zarządzanie Kontem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:24 PM"
"C25","[Change Password] Zmiana hasła na nowe.","Mateusz Bilewicz","2/22/2023 10:24 PM","","","Medium","","[Custumer] Zarządzanie Kontem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:32 PM"
"C26","[Mini Statement]  Sprawdzenie mini wyciągu operacji konta .","Mateusz Bilewicz","2/22/2023 10:33 PM","","","Medium","T26","[Custumer] Zarządzanie Kontem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 11:16 PM"
"C27","[Customized Statement]  Zestawienie indywidualne i wyświetlenie transkacji na rachunku opacriu o date , wartość transakcji.","Mateusz Bilewicz","2/22/2023 10:37 PM","","","Medium","T27","[Custumer] Zarządzanie Kontem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 11:16 PM"
"C28","[Log out] Poprawne wylogowanie klienta  sie z  swoojego konta .","Mateusz Bilewicz","2/22/2023 10:42 PM","","","Medium","","[Custumer] Zarządzanie Kontem","1","","Master","S1","Functional","Mateusz Bilewicz","2/22/2023 10:43 PM"
